SLUG,WEBSITE,ECOMMERCE,CHANNEL
kronotime-ecommerce,https://kronotime.com/collections/relojes-exclusivos-para-regalar-a-menos-de-200000?utm_source=Pagina&utm_medium=imagen-+addi+friends&utm_campaign=Addi+Friends+kronotime++5+al+17+de+septiembre&utm_id=Pagina,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
vinaga-ecommerce,https://vinaga.net,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
macondas-ecommerce,https://macondas.com,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
august-ecommerce,https://www.august.com.co/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
loccitane-ecommerce,https://co.loccitane.com/l'occitane/colombia,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
justfit-ecommerce,https://justfit.com.co,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
todoparaciclismo-ecommerce,https://todoparaciclismo.com/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
lazo-ecommerce,https://lazo.com.co,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
colchonesyespumasdormilandia-ecommerce,https://colchonesdormilandia.co/,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
olecompany-ecommerce,https://olecapilar.com,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
teraviva-ecommerce,https://teraviva.com.co,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
tigo-ecommerce,https://compras.tigo.com.co/financiacion#,CUSTOM/WORDPRESS,E_COMMERCE_VTEX
jotcajeans-ecommerce,https://www.jotcajeans.com,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
medicalmarket-ecommerce,https://amedicalmarket.com,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
lamarshop-ecommerce,https://www.lamarshop.com.co/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
masurbano-ecommerce,https://tiendamasurbano.com ,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
spring-ecommerce,https://www.colchonesspring.com.co,CUSTOM/WORDPRESS,E_COMMERCE_CUSTOM
erwhitejeans-ecommerce,https://www.erwhitejeans.com/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
vitalica-ecommerce,https://vitalica.com.co/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
elishop-ecommerce,https://elishop.com.co/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
stanza-ecommerce,https://stanza.com.co,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
implementosdeportivosorlave-ecommerce,https://orlave.com/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
xhobbies-ecommerce,https://xhobbies.co/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
andreaagudelo-ecommerce,https://intl.andreagudelo.com/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
moca-ecommerce,https://mocaoficial.com/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
motorola-ecommerce,https://www.motorola.com.co/?utm_medium=Addi&utm_source=siteaddi,CUSTOM/WORDPRESS,E_COMMERCE_VTEX
decoriente-ecommerce,https://decoriente.com.co,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
fpmoto-ecommerce,https://www.fpmoto.com/,CUSTOM/WORDPRESS,E_COMMERCE_MAGENTO
koaj-permoda-online,https://www.koaj.co/,CUSTOM/WORDPRESS,API_PAY_LINK
electrolux-ecommerce,https://www.electrolux.com.co/,CUSTOM/WORDPRESS,E_COMMERCE_VTEX
medekicks-ecommerce,https://medekicks.com/,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
nanastore-ecommerce,https://nanastore.co/hogar/,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
labodegadealeja-ecommerce,https://labodegadealeja.com/,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
zonagamerco-ecommerce,https://zonagamer.co/,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
balukids-ecommerce,https://balu.com.co/,CUSTOM/WORDPRESS,E_COMMERCE_CUSTOM
laboratoriosmariasalome-ecommerce,https://mariasalome.com,CUSTOM/WORDPRESS,E_COMMERCE_CUSTOM
enjoypc-ecommerce,https://www.enjoypc.co/,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
comercializadorafacihogarsas-ecommerce,https://facihogar.com.co/,CUSTOM/WORDPRESS,E_COMMERCE_CUSTOM
esiete-ecommerce,https://esiete.co,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
essemskincare-ecommerce,https://www.essemskincare.com,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
closetienda-ecommerce,https://closetienda.com/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
fiorenzi-ecommerce,https://www.fiorenzi.com.co/,CUSTOM/WORDPRESS,E_COMMERCE_VTEX
totalbeautysystem-ecommerce,https://totalbeautysystem.com/,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
tiendasportfitness-ecommerce,https://tienda-sportfitness.com/,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
firenzedeco-ecommerce,https://www.firenzedeco.com/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
tiendasparadox-ecommerce,https://tiendasparadox.co,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
spirito-ecommerce,https://www.spirito.com.co/,CUSTOM/WORDPRESS,E_COMMERCE_VTEX
elmejorperfume-ecommerce,https://elmejorperfume.com,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
enmoto-ecommerce,https://enmoto.co/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
clickcosmetics-ecommerce,https://clickcosmetics.com.co/,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
miaalmamia-ecommerce,https://mialmamia.com,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
pigmalion-ecommerce,https://industriaspigmalion.com/,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
zamianaturalezalatina-ecommerce,https://zamiacolombia.com/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
bloom-ecommerce,https://shopbloom.com.co/,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
hecatombe-ecommerce,https://hecatombe.co,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
cosmeticosghelic-ecommerce,https://cosmeticosghelic.com,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
alexandergerard-ecommerce,https://www.alexandergerardmen.com.co/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
stevemadden-ecommerce,https://stevemadden.com.co/?utm_campaign=addifriends&utm_source=addi&utm_medium=rrss,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
dinastiashoes1-ecommerce,https://dinastiashoes1.com/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
soulintimates-ecommerce,https://soulintimates.com,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
veronnagroup-ecommerce,https://veronnaperfumeria.com/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
kadosh-ecommerce,https://calzadokadosh.com/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
amlcomercializadora-ecommerce,https://amlcomercializadora.com/,CUSTOM/WORDPRESS,E_COMMERCE_WOOCOMMERCE
freespirit-ecommerce,https://www.freespirit.com.co,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
blossomperfumeria-ecommerce,https://blossomperfumeria.com,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
vivamoda-ecommerce,https://www.vivamoda.com.co/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
bamdenim-ecommerce,https://bam-denim.com/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
navissi-ecommerce,https://navissi.com/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
armatura-ecommerce,https://armatura.com.co,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
surtibaby-ecommerce,https://www.surtibaby.com/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
momentum-ecommerce,https://momentumclothes.com,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
almaceneldeportista-ecommerce,https://eldeportista.co,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
flashes-ecommerce,https://flashesbeauty.com/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
amazonicabeleza-ecommerce,https://amazonicabeleza.com/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
agybo-ecommerce,https://agybo.com,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
eloisastudio-ecommerce,https://eloisa.co,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
spacewave-ecommerce,https://spacewave.com.co/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
saju-ecommerce,https://www.saju.co/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
twonow-ecommerce,https://twonow.co/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
airu-ecommerce,https://airu.com.co/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
misorganizadores-ecommerce,https://www.misorganizadores.com/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
fjallraven-ecommerce,https://fjallraven.com.co/collections/mochilas-kanken?utm_campaign=addifriends&utm_source=addi&utm_medium=rrss,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
especia-ecommerce,https://www.especia.com/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
divva-ecommerce,https://divva.co,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
allbaute-ecommerce,https://allbaute.com,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
bydanielasalazar-ecommerce,https://bydanielasalazar.com,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
deunashop-ecommerce,https://deunashop.co/,CUSTOM/WORDPRESS,E_COMMERCE_SHOPIFY
polobike-ecommerce,https://polobike.co/,CUSTOM/WORDPRESS,E_COMMERCE_CUSTOM
